Rollup Name,Mfg | Model*,5G SgNB gNB Mkt #1,5G SgNB gNB #1,Attach EPS ID Type,5G SgNB MeNB-Initiated SgNB Rel Result #1,5G SgNB Req Count,5G SgNB Add Req Time* #1,5G SgNB Rel Req Rxd Time* #1,5G SgNB Rel Req Send Time* #1,5G FSM Mkt #,Record End Date*,Record Source,Rollup Mkt #,Def Bearer QCI #1,Def Bearer ID #1,Def Bearer QCI #2,Def Bearer ID #2,Attach Events #*,Attach Fail #*,Detach Events #*,Detach Reason,Rollup DL CH #*,Rollup eNB #,Rollup Cell ID #*,Rollup Carrier #*,Rollup Band #*,Procedure End Time*,Procedure Start Time*,Record End Hour*,Proc Duration (secs),IMSI,First PUSCH Distance (miles),Cell Meas Reports,Proc Category #1*,Proc Entry Type,First Distance (miles),Last Distance (miles),Proc ID #1,Proc CFC #1,Proc CFCQ #1,Proc CFCQ2 #1,Active VoLTE Device*,Proc Category #2*,Proc ID #2,Proc CFC #2,Proc CFCQ #2,RRC Category*,eNB CFC,eNB CFCQ,eNB CFCQ2,Carrier Aggregation Rec #,Proc Marker 1,Proc Marker 2,Proc Marker 3,UL Avg SINR (dB),Proc Marker 4,Proc Marker 5,VoLTE Category*,Failed SIP CDR,SIP Drop,First  CMR Purpose,First  CMR Trigger,First  CMR Trigger Type,First CMR DL CH#,First  CMR # of Cells,First  CMR Mkt Serving,First  CMR eNB Serving,First  CMR eNB Cell ID Serving,First  CMR PCI Serving,First  CMR RSRP Serving (dBm),First  CMR RSRQ Serving (dB),First  CMR Mkt #1,First  CMR eNB #1,First  CMR eNB Cell ID #1,First  CMR PCI #1,First  CMR RSRP #1 (dBm),First  CMR RSRQ #1 (dB),First  CMR Mkt #2,First  CMR eNB #2,First  CMR eNB Cell ID #2,VCFC,SIP Session Effective,SIP Call Setup Dir,SIP Call Duration (secs),E911,Proc CFCQ2 #2,Proc Category #3*,Proc ID #3,Proc CFC #3,Proc CFCQ #3,Proc CFCQ2 #3,RCF# Total,RCF Reason 0,RCF# 0,RCF Reason 1,RCF# 1,RCF Reason 2,RCF# 2,RLF Indicator,RLF Ind Received,DL RLC Throughput (Mbps),UL RLC Throughput (Mbps),CA 2DL Duration (secs),CA 3DL Duration (secs),CA 4DL Duration (secs),Proc Marker 6,Proc Marker 7,Proc Marker 8,Proc Marker 9,Proc Marker 10,Proc Marker 11,Proc Marker 12,Proc Marker 13,Proc Marker 14,Proc Marker 15,Proc Marker 16,Proc Marker 17,Proc Marker 18,Proc Marker 19,Proc Marker 20,UE Cnxt Fetch Response,Reestab*,Reestablishment Mkt #,Reestablishment eNB #,Reestablishment Cell ID #*,RRC Establishment Cause,ICS Failure*,ICS Events #*,Service Request Received Time*,S1 Release Time*,eNB Duration *(secs),DL RLC Tx (KB)*,DL RLC Re-Tx (KB)*,DL Re-Tx (%)*,DL RLC Total Tx (KB)*,UL RLC SDU Tx (KB)*,UL RLC PDU Tx (KB)*,UL Re-Tx (%)*,5G SgNB-Initiated SgNB Rel Result #1,DL RLC Tx Time (secs),IMEI,IMEI SV,Subscriber # (MSISDN),IMSI Operator*,GUMMEI PLMN,MME Pool,MME,UL PDU Rx TTIs (secs),CA 2DL RLC Tx (KB)*,CA 3DL RLC Tx (KB)*,CA 4DL RLC Tx (KB)*,QCI1 DL Sched Pkt Gap(weighted) secs,QCI1 UL Sched Pkt Gap(weighted) secs,QCI1 DL Total RTP Gap(weighted) secs,QCI1 UL Total RTP Gap(weighted) secs,Source eNB ID #,Source Cell ID #*,Source Band #*,Source DL CH #*,Target eNB ID #,Target Cell ID #*,Target Band #*,Target DL CH #*,All HO Good*,Last Intra-eNB Inter-Cell HO Category*,Last Intra-eNB Inter-Cell HO Result,Last X2 HO Category*,Last X2 HO Result,Last X2 HI Category*,Last S1 HO Category*,Last S1 HO Result,UE Mobility Trigger Reason,Paging Type,Paging QCI,Paging Attempt Count,Paging Att 1 eNB Count,Paging Att 2 eNB Count,Paging Att 3 eNB Count,Paging Att 4 eNB Count,Paging Success Duration* (secs),Per Call Paging Cost*,Last Seen TA,Current TA,SGW IP Address,Active SGW,Diameter Result Code,UL Avg Norm Pwr Headroom (dB),UL Max Init MAC BLER (%),UL Max Resid MAC BLER (%),UL Resid VoIP BLER (%),Avg WB CQI L0 - Rank 1 TXDiv,Avg WB CQI L0 - Rank 2 MIMO,Avg WB CQI L1,PCell DL TTI MIMO #,PCell DL TTI Total #,5G SgNB Add Req Result #1,First  CMR PCI #2,First  CMR RSRP #2 (dBm),First  CMR RSRQ #2 (dB),First  CMR Mkt #3,First  CMR eNB #3,First  CMR eNB Cell ID #3,First  CMR PCI #3,First  CMR RSRP #3 (dBm),First  CMR RSRQ #3 (dB),Last  CMR Purpose,Last  CMR Trigger Type,Last  CMR Trigger,Last CMR DL CH#,Last  CMR # of Cells,Last  CMR Mkt Serving,Last  CMR eNB Serving,Last  CMR eNB Cell ID Serving,Last  CMR PCI Serving,Last  CMR RSRP Serving (dBm),Last  CMR RSRQ Serving (dB),Last  CMR Mkt #1,Last  CMR eNB #1,Last  CMR eNB Cell ID #1,Last  CMR PCI #1,Last  CMR RSRP #1 (dBm),Last  CMR RSRQ #1 (dB),Last  CMR Mkt #2,Last  CMR eNB #2,Last  CMR eNB Cell ID #2,Last  CMR PCI #2,Last  CMR RSRP #2 (dBm),Last  CMR RSRQ #2 (dB),Last  CMR Mkt #3,Last  CMR eNB #3,Last  CMR eNB Cell ID #3,Last  CMR PCI #3,Last  CMR RSRP #3 (dBm),Last  CMR RSRQ #3 (dB),Def Bearer All Good*,Ded Bearer All Good*,Def Bearer Rec Cnt,Ded Bearer Rec Cnt*,Total Bearer Rec Cnt*,QCI 1 Bearer Count*,QCI 5 Bearer Count*,QCI 6 Bearer Count*,QCI 7 Bearer Count*,QCI 8 Bearer Count*,QCI 9 Bearer Count*,QCI Unknown Bearer Count*,Def Bearer PGW #1,Def Bearer APN #1,Def Bearer Category* #1,Def Bearer FC #1,Def Bearer FCQ #1,Def Bearer FCQ2 #1,Def Bearer UE IP #1,Ded Bearer QCI #1.1,Ded Bearer ID #1.1,Ded Bearer Category* #1.1,Ded Bearer FC #1.1,Ded Bearer FCQ #1.1,Ded Bearer FCQ2 #1.1,Ded Bearer QCI #1.2,Ded Bearer ID #1.2,Ded Bearer Category* #1.2,Ded Bearer FC #1.2,Ded Bearer FCQ #1.2,Ded Bearer FCQ2 #1.2,Def Bearer PGW #2,Def Bearer APN #2,Def Bearer Category* #2,Def Bearer FC #2,Def Bearer FCQ #2,Def Bearer FCQ2 #2,Def Bearer UE IP #2,Ded Bearer QCI #2.1,Ded Bearer ID #2.1,Ded Bearer Category* #2.1,Ded Bearer FC #2.1,Ded Bearer FCQ #2.1,Ded Bearer FCQ2 #2.1,Ded Bearer QCI #2.2,Ded Bearer ID #2.2,Ded Bearer Category* #2.2,Ded Bearer FC #2.2,Ded Bearer FCQ #2.2,Ded Bearer FCQ2 #2.2,Def Bearer PGW #3,Def Bearer APN #3,Def Bearer QCI #3,Def Bearer ID #3,Def Bearer Category* #3,Def Bearer FC #3,Def Bearer FCQ #3,Def Bearer FCQ2 #3,Def Bearer UE IP #3,Ded Bearer QCI #3.1,Ded Bearer Category* #3.1,Ded Bearer ID #3.1,Ded Bearer FC #3.1,Ded Bearer FCQ2 #3.1,Ded Bearer FCQ #3.1,Ded Bearer QCI #3.2,Ded Bearer ID #3.2,Ded Bearer Category* #3.2,Ded Bearer FC #3.2,Ded Bearer FCQ #3.2,Ded Bearer FCQ2 #3.2,Def Bearer APN #4,Def Bearer PGW #4,Def Bearer QCI #4,Def Bearer ID #4,Def Bearer Category* #4,Def Bearer FC #4,Def Bearer FCQ #4,Def Bearer FCQ2 #4,Def Bearer UE IP #4,Ded Bearer QCI #4.1,Ded Bearer Category* #4.1,Ded Bearer ID #4.1,Ded Bearer FC #4.1,Ded Bearer FCQ #4.1,Ded Bearer FCQ2 #4.1,Ded Bearer QCI #4.2,Ded Bearer ID #4.2,Ded Bearer Category* #4.2,Ded Bearer FC #4.2,Ded Bearer FCQ #4.2,Ded Bearer FCQ2 #4.2,Target MME for HO,Target SGW for HO or TAU,CDMA Rcvr Type,Attach Type,C-RNTI,M-TMSI,UE VLR Index,PCMD Version,eNB PCMD Version,Data File Name,PCMD ID #,SEA: Last CMR RSRP #1 (dBm),SEA: Last CMR RSRP #2 (dBm),SEA: Last CMR RSRQ #1 (dB),SEA: Last CMR RSRQ #2 (dB),Rollup eNB ID #,Rollup eNB.Cell ID,Rollup Mkt.eNB.Cell ID,Rollup Mkt.eNB.Cell ID.Carrier #,Rollup Mkt.eNB.Sector.Carrier #,DU header,5G SgNB gNB ID #1,5GN CU:SgNB Rel Reason #1,5G SgNB MeNB UE X2AP ID #1,5G Rollup Mkt,5G FSM eNB #,5G FSM eNB ID #,5G Rollup DU #,5GN DU:CA Setup Good # #1,5GN Du:CA Rec Cnt,5GN DU:Source ID #1,5GN DU Pri:Cell ID #1,5GN DU:C-RNTI #1,5GN DU:CFC #1,5GN DU:CFCQ #1,5GN DU:CFCQ2 #1,5GN DU:CFC #2,5GN DU:CFCQ #2,5GN DU:CFCQ2 #2,5GN DU:UE Cnxt Setup Result #1,5GN DU:gNB CU UE F1AP ID #1,5GN DU:E-RAB ID #1,5GN DU: UE Cntxt Rel Reason #1,5GN DU:DRB ID #1,5GN DU:QCI #1,5GN DU: UE Cntxt Rel Reason #2,5GN DU:Bearer Setup Good # #1,5GN DU:Bearer Setup Failed # #1,5GN DU CA:DL UE Sched Dur (secs) #1,5GN DU:UL PDU RX Dur (secs) #1,5GN DU:Sub Carrier Spacing (kHz) #1,5GN DU:DL CA Init Trans MAC PDU Cnt #1,5GN DU:DL Total RLC PDU TX (KBs) #1,5GN DU:DL Data Dur (secs) #1,5GN Du:Primary Rec Cnt,5GN Du:Bearer Rec Cnt,5GN DU:Pre-emp Cap #1,5GN DU:Pre-emp Vuln #1,5GN DU:SCell Index #1,5GN DU:UL Data Dur (secs) #1,5GN DU:UL Total RLC PDU RX (KBs) #1,5G Rollup gNB #,5GN CU:CA Rec Cnt,5GN CU:Source ID #1,5GN CU:gNB CU ID #1,5GN CU:C-RNTI #1,5GN CU:CFC #1,5GN CU:CFC #2,5GN CU:CFCQ #1,5GN CU:CFCQ #2,5GN CU:CFCQ2 #1,5GN CU:CFCQ2 #2,5GN CU:eNB ID #1,5GN CU:MeNB UE X2AP ID #1,5GN CU:SgNB UE X2AP ID #1,5GN CU:SgNB Add Req Rx Time #1,5GN CU:SgNB Add Req Ack Send Time #1,5GN CU:SgNB Add Req Rej Send Time #1,5GN CU:SgNB Recfg Comp Rx Time #1,5GN CU:DU UE Cnxt Setup Result #1,5GN CU:gNB DU IDs #1,5GN CU:gNB CU UE F1AP ID #1,5GN CU:gNB DU UE F1AP ID #1,5GN CU:SgNB Rel Req Time #1,5GN CU:SgNB Rel Resp Time #1,5GN CU:E-RAB ID #1,5GN CU:DRB ID #1,5GN CU:QCI #1,5GN CU:Bearer Setup Good # #1,5GN CU:Bearer Setup Failed # #1,5GN CU:Bearer Rel # #1,5GN CU:SCell Index #1,UL UE Category,DL UE Category,MME UE S1 AP ID,eNB UE S1 AP ID,CU header,5GN CU:SgNB Add Result #1,5G Rollup Mkt.gNB #.DU #.Cell ID,5GN CU:SgNB Rel Reason #2,5GN CU:SgNB Rel Reason #3,5G Rollup Cell ID,5GN DU:gNB DU ID #1,5GN CU:CFC #3,5GN CU:CFCQ #3,5GN CU:CFCQ2 #3,5GN CU:CFC #4,5GN CU:CFCQ #4,5GN CU:SN Status Xfer Rx Time #1,5GN CU:SN Status Xfer Rx Time #2,5GN CU:Source ID #2,5GN CU:CFCQ2 #4,5GN CU:CA Setup Failure # #1,5G SgNB MeNB UE X2AP ID Ext #1,5G SgNB UE X2AP ID #1,5GN CU:PCMD Version,5GN CU:Primary Rec Cnt,5GN CU:Bearer Rec Cnt,5GN Du:PCMD Version,5GN CU:CA Setup Good # #1,5G FSM PCMD version,5GN DU CA:DL UE Sched Dur (secs) #2,5G FSM Mkt.eNB #,UE Release Number,Service Initiation #,Sequence #
SALISBURY_PLAINS_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,2050,123,32,2,4,0:00:09,,8,,3.11E+14,0.73,None,,,0.73,0.73,,,,,Y,,,,,RD,4,,32,0,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,0.59,0,0,,0,0,0,,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,8000,0,,10,10,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20546,,,,,2020102412,,,,,,58123,123.32,58.123.32,58.123.32.2,58.123.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALISBURY_PLAINS_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,1025,123,24,4,2,0:01:12,,14,,3.11E+14,0.1,First,,,0.1,0.1,,,,,Y,,,,,Good,2,,,0,,,,24,,,,,,0,A3,E,1025,1,58,123,24,128,-82,-15.5,14879,522,,127,-77,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,5.01,0,0,,0,0,0,,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,58123,24,2,1025,58123,24,2,1025,Y,Good,0,,,,,,,,,,,,,,,,,,,,,28.5,700,0,,6,7,,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12352,,,,,2020102418,,,,,,58123,123.24,58.123.24,58.123.24.4,58.123.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALISBURY_PLAINS_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,2050,123,32,2,4,0:01:48,,8,,3.11E+14,0.82,None,,,0.82,0.82,,,,,Y,,,,,RD,4,,32,0,,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,0.72,0,0,,0,0,0,,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,5000,700,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11821,,,,,2020102412,,,,,,58123,123.32,58.123.32,58.123.32.2,58.123.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALISBURY_3_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,5230,124,1,1,13,0:02:14,,13,,3.11E+14,2.18,First,,,2.18,2.18,,,,,Y,,,,,Good,2,101,,1,,,,8.4,,,,,,0,A3,E,5230,1,58,124,1,11,-109,-20,15703,43,,113,-103,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6.22,3,0,0,3,54,54,0,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,58124,1,13,5230,61340,3,13,5230,Y,,,Good,0,Good,,,,,,,,,,,,,,,,,,2.5,700,0,,,2,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20249,,,,,2020102417,,,,,,58124,124.1,58.124.1,58.124.1.1,58.124.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALISBURY_PLAINS_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,2050,123,32,2,4,0:03:27,,14,,3.11E+14,0.53,None,,,0.53,0.53,,,,,Y,,,,,RD,4,,32,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,0.73,0,0,,0,0,0,,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,7100,700,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13123,,,,,2020102418,,,,,,58123,123.32,58.123.32,58.123.32.2,58.123.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALISBURY_PLAINS_MA,,,,,,,,,,,10岿 24老,CSL,58,,,,,,,,,2050,123,32,2,4,0:03:50,,10,,3.11E+14,0.34,None,,,0.34,0.34,,,,,Y,,,,,RD,4,,32,0,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,0.58,0,0,,0,0,0,,,,3.56E+13,2,8572591460,Verizon Wireless | USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,7000,0,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63033,,,,,2020102414,,,,,,58123,123.32,58.123.32,58.123.32.2,58.123.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
